name,prompt,negative_prompt
Style: 3d-model,"professional 3d model {prompt} . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting"
Style: pixel art,"pixel-art {prompt} . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic"
Style: Texture,"texture {prompt} top down close-up","ugly, deformed, noisy, blurry"
Style: Graffiti,"graffiti style {prompt} . spray paint, vibrant, urban, detailed, street art","classical, deformed, realism, photographic, glitch, noisy, soft, sketchy"
Style: Cyberpunk,"cyberpunk cityscape {prompt} . neon, dark, futuristic, detailed","pastel, soft, sketch, natural, bright"
Style: Pop art,"pop art {prompt} . vibrant colors, iconic, bold outlines, dotted","realistic, photographic, soft, sketchy, deformed"
Style: Chiaroscuro,"chiaroscuro portrait {prompt} . high contrast, dramatic, Rembrandt lighting","vibrant, pastel, light, bright, flat, washed out"
Style: Impressionism,"impressionist landscape {prompt} . brush strokes, atmospheric, Monet style","realistic, photographic, detailed, anime, neon"
Style: Cubism,"cubist interpretation of {prompt} . geometric, fragmented, Picasso style","realistic, photographic, soft, detailed, smooth"
Style: Surrealism,"surreal depiction of {prompt} . dreamlike, bizarre, detailed, Dali inspired","realistic, photographic, logical, normal, literal"
Style: Abstract,"abstract interpretation of {prompt} . non-objective, color field, patterned, Kandinsky style","realistic, photographic, detailed, clear, objective"
Style: Minimalist,"minimalist design of {prompt} . clean lines, flat colors, simplicity","detailed, ornate, realistic, photographic, vibrant"
Style: Geometric,"geometric design of {prompt} . sharp angles, bold colors, clean lines","curvilinear, organic, natural, detailed, soft"
Style: Retro,"retro style {prompt} . vintage colors, old-school design, nostalgic","modern, futuristic, neon, photorealistic, digital"
Style: Psychedelic,"psychedelic version of {prompt} . vibrant, kaleidoscopic, surreal, detailed","monochrome, simple, realist, photographic, dull"
Style: Gothic,"gothic rendition of {prompt} . dark, macabre, highly detailed, brooding","bright, vibrant, pastel, light, joyful"
Style: Rococo,"rococo art of {prompt} . ornate, pastel, romantic, highly detailed","minimalist, simple, monochrome, dark, modern"
Style: Steampunk,"steampunk style {prompt} . gears, brass, Victorian, intricate, detailed","minimalist, modern, bright, neon, simple"
Style: Baroque,"baroque style {prompt} . ornate, gold, dramatic, highly detailed","minimalist, simple, modern, bright, neon"
Style: Fauvism,"fauvist style {prompt} . bright, unnatural colors, bold brushwork","realistic, photographic, monochrome, detailed, neutral"
Style: Futurist,"futuristic design of {prompt} . clean lines, high-tech, detailed","vintage, retro, worn-out, distressed, old-fashioned"
Style: Pop Surrealism,"pop surrealistic {prompt} . dreamlike, pop culture elements, vibrant, detailed","realistic, photographic, dull, monochrome, normal"
Style: Street Art,"street art style {prompt} . urban, vibrant, stencil art, highly detailed","classical, vintage, sepia, minimalistic, realistic"
Style: Pencil Sketch,"pencil sketch {prompt} . shaded, detailed, graphite, hand-drawn","photorealistic, painting, bright, colorful, digital"
Style: Charcoal Drawing,"charcoal drawing {prompt} . dark, contrast, highly detailed, textured","photorealistic, painting, bright, colorful, digital"
Style: Watercolor,"watercolor painting {prompt} . soft, vibrant, blended, hand-painted","photorealistic, digital, bright, neon, minimal"
Style: Ink Wash,"ink wash painting {prompt} . monochrome, fluid, Asian art, detailed","colorful, vibrant, photorealistic, digital, pastel"
Style: Manga,"manga style {prompt} . black and white, Japanese comic style, detailed","realistic, photographic, colorful, western comic style, soft"
Style: Glitch Art,"glitch art {prompt} . distorted, vibrant, digital noise","realistic, photographic, minimal, clean, smooth"
Style: Pointillism,"pointillist painting {prompt} . dots, Seurat style, vibrant, highly detailed","smooth, blended, photorealistic, minimal, clean"
Style: Expressionism,"expressionist painting {prompt} . emotional, vibrant, brush strokes, highly detailed","realistic, photographic, smooth, minimal, clean"
Style: Silhouette,"silhouette style {prompt} . black and white, contrast, simple","detailed, colorful, vibrant, complex, realistic"
Style: Photorealism,"photorealistic rendering of {prompt} . detailed, realistic, high definition","cartoon, anime, sketchy, low-res, abstract"
Style: Constructivism,"constructivist design of {prompt} . geometric, bold, Russian art, highly detailed","soft, natural, organic, smooth, realist"
Style: Dada,"dada style {prompt} . nonsensical, collage, absurd, highly detailed","realistic, photographic, logical, normal, simple"
Style: Film Noir,"film noir style {prompt} . black and white, high contrast, mystery, detailed","colorful, vibrant, light, bright, clear"
Style: Folk Art,"folk art style {prompt} . vibrant, patterned, cultural, highly detailed","modern, minimal, realistic, photographic, simple"
Style: Romanticism,"romantic style {prompt} . dramatic, emotional, nature, highly detailed","minimal, simple, geometric, photorealistic, modern"
Style: Trompe-l'oeil,"trompe-l'oeil style {prompt} . illusion, realistic, highly detailed","abstract, minimal, simple, geometric, sketchy"
Style: Gouache,"gouache painting {prompt} . vibrant, opaque, texture, highly detailed","minimal, simple, photorealistic, digital, smooth"
Style: Scratchboard,"scratchboard style {prompt} . monochrome, texture, highly detailed, engraving","colorful, vibrant, soft, smooth, simple"
Style: Etching,"etching style {prompt} . monochrome, texture, highly detailed, engraving","colorful, vibrant, soft, smooth, simple"
Style: Renaissance,"renaissance style {prompt} . historical, humanistic, detailed, chiaroscuro","modern, abstract, minimal, geometric, pop art"
Style: Deco,"deco style {prompt} . geometric, modern, sleek, highly detailed","organic, soft, sketchy, impressionist, rustic"
Style: Nouveau,"nouveau style {prompt} . ornamental, nature, highly detailed, Mucha style","minimal, geometric, modern, simple, clean"
Style: Brush Stroke,"brush stroke style {prompt} . painterly, textured, highly detailed","photorealistic, minimal, clean, smooth, simple"
Style: Body Art,"body art {prompt} . tattoo style, detailed, inked","clean, minimalist, smooth, detailed, cartoonish"
Style: Silkscreen,"silkscreen style{prompt} . bold colors, flat, pop art, Warhol inspired","detailed, photorealistic, soft, smooth, shaded"
Style: Monoprint,"monoprint style {prompt} . unique, textured, painterly, highly detailed","clean, smooth, flat, vector, digital"
Style: Mosaic,"mosaic style {prompt} . fragmented, colorful, patterned, highly detailed","smooth, blended, soft, photorealistic, simple"
Style: Kawaii,"kawaii style {prompt} . cute, colorful, Japanese pop culture, highly detailed","serious, dark, realistic, photographic, neutral"
Style: Chalk Art,"chalk art style {prompt} . textured, vibrant, hand-drawn, detailed","smooth, clean, flat, vector, digital"
Style: Glass Painting,"stained glass style {prompt} . vibrant, fragmented, light effects, highly detailed","flat, smooth, minimal, simple, soft"
Style: Hyperrealism,"hyperrealistic rendition of {prompt} . ultra detailed, realistic, high definition","cartoon, anime, abstract, low-res, minimal"
Style: Op Art,"op art style {prompt} . optical illusions, black and white, geometric, detailed","organic, soft, photorealistic, colorful, vibrant"
Style: Post-Impressionism,"post-impressionist style {prompt} . vibrant, expressive, Van Gogh style","realistic, photographic, minimal, clean, smooth"
Style: Suprematism,"suprematist design of {prompt} . geometric, abstract, Malevich style","realistic, photographic, detailed, organic, soft"
Style: Tenebrism,"tenebrist painting {prompt} . high contrast, dramatic lighting, Caravaggio style","soft, light, bright, minimal, clean"
Style: Symbolism,"symbolist interpretation of {prompt} . allegorical, detailed, mysterious","realistic, photographic, literal, clear, simple"
Style: Dystopian,"dystopian depiction of {prompt} . dark, bleak, futuristic, detailed","pastel, happy, utopian, bright, vibrant"
Style: Calligraphy,"calligraphic interpretation of {prompt} . elegant, flowing, handwritten","typed, digital, block letters, sans-serif, geometric"
Style: Vexel,"vexel style {prompt} . sharp, clean, vector-based, highly detailed","hand-drawn, sketchy, soft, painterly, textured"
Style: Illuminated,"illuminated manuscript style {prompt} . medieval, gold leaf, ornate, highly detailed","modern, clean, minimal, simple, digital"
Style: Stencil Art,"stencil art style {prompt} . bold, urban, Banksy style, detailed","soft, detailed, photorealistic, smooth, clean"
Style: Terracotta,"terracotta sculpture of {prompt} . clay, ancient, textured, detailed","modern, smooth, metallic, shiny, clean"
Style: Papercraft,"papercraft style {prompt} . cut-out, layered, detailed, colorful","soft, blended, smooth, photorealistic, painted"
Style: Junk Art,"junk art style {prompt} . recycled, textured, detailed, assemblage","clean, smooth, minimalist, modern, shiny"
Style: Crypto Art,"crypto art style {prompt} . digital, vibrant, blockchain, detailed","traditional, analog, hand-drawn, soft, muted"
Style: Polaroid,"polaroid style {prompt} . vintage, instant photo, faded, detailed","modern, digital, clean, sharp, HDR"
Style: Holography,"holographic style {prompt} . rainbow, shimmer, 3D effect, detailed","flat, monochrome, simple, soft, non-reflective"
Style: Woodcut,"woodcut style {prompt} . engraved, textured, detailed, monochrome","smooth, soft, photorealistic, painted, colorful"
Style: VR Art,"VR art style {prompt} . 3D, immersive, digital, detailed","2D, flat, analog, traditional, simple"
Style: Bio Art,"bio art style {prompt} . organic, cellular, microscopic, detailed","geometric, hard-edge, simple, macroscopic, large-scale"
Style: Generative Art,"generative art style {prompt} . algorithmic, complex, patterned, detailed","hand-drawn, simple, static, unplanned, analog"
Style: Glaze Art,"glaze art style {prompt} . ceramic, shiny, detailed, vibrant","soft, matte, non-reflective, monochrome, simple"
Style: Shadow Art,"shadow art style {prompt} . silhouette, monochrome, contrast, detailed","colorful, bright, light, textured, complex"
Style: String Art,"string art style {prompt} . geometric, threaded, intricate, detailed","soft, organic, fluid, painted, simple"
Style: Sand Art,"sand art style {prompt} . textured, layered, natural, detailed","smooth, flat, hard-edge, shiny, metallic"
Style: Zentangle,"zentangle style {prompt} . patterned, intricate, detailed, black and white","colorful, simple, large-scale, photorealistic, smooth"
Style: Photo Mosaic,"photo mosaic style {prompt} . many small photos, patterned, detailed","one image, simple, large-scale, monochrome, smooth"
Style: Cyanotype,"cyanotype style {prompt} . blue, photographic print, vintage, detailed","colorful, digital, modern, vibrant, smooth"
